constituency_id,tmc_voteshare,bjp_voteshare,left_voteshare,cong_voteshare,others_voteshare,tmc_minus_bjp_margin,winner,total_votes
1,0.4998,0.4259,0.0345,0.0,0.0397,0.0739,tmc,198744
2,0.4067,0.5287,0.036,0.0,0.0286,-0.122,bjp,214203
3,0.434,0.494,0.047,0.0,0.025,-0.06,bjp,243916
4,0.4431,0.4683,0.0524,0.0,0.0362,-0.0252,bjp,195505
5,0.4356,0.508,0.0273,0.0,0.0291,-0.0724,bjp,245966
6,0.4942,0.4518,0.0,0.0166,0.0373,0.0424,tmc,238578
7,0.4758,0.476,0.0249,0.0,0.0233,-0.0002,bjp,243751
8,0.4066,0.5145,0.0545,0.0,0.0243,-0.1079,bjp,217173
9,0.3979,0.5469,0.0,0.0285,0.0267,-0.149,bjp,209378
10,0.4343,0.4816,0.0,0.0,0.0841,-0.0473,bjp,232489
11,0.3806,0.5265,0.0,0.028,0.0649,-0.1459,bjp,195815
12,0.41,0.4819,0.0,0.0703,0.0378,-0.0719,bjp,222732
13,0.449,0.4671,0.0489,0.0,0.0351,-0.0181,bjp,220500
14,0.3656,0.5435,0.0,0.0,0.0909,-0.1779,bjp,166920
15,0.4375,0.4565,0.0572,0.0,0.0488,-0.019,bjp,229323
16,0.4379,0.4884,0.0066,0.0,0.0671,-0.0505,bjp,236093
17,0.4234,0.4193,0.0,0.1072,0.0501,0.0041,tmc,225933
18,0.485,0.4119,0.0561,0.0,0.047,0.0731,tmc,215755
19,0.3919,0.4985,0.0695,0.0,0.0401,-0.1066,bjp,258969
20,0.4646,0.439,0.0512,0.0,0.0451,0.0256,tmc,213255
21,0.3727,0.4955,0.0,0.0651,0.0667,-0.1228,bjp,191169
22,0.0,0.3509,0.0,0.0111,0.6381,-0.3509,others,154863
23,0.0,0.4088,0.0113,0.0,0.5799,-0.4088,others,168575
24,0.0,0.4186,0.0145,0.0,0.5669,-0.4186,others,175545
25,0.2865,0.581,0.0,0.0958,0.0366,-0.2945,bjp,240591
26,0.3011,0.5003,0.1614,0.0,0.0373,-0.1992,bjp,178650
27,0.3755,0.5089,0.0134,0.0617,0.0404,-0.1334,bjp,207590
28,0.612,0.294,0.0602,0.0,0.0338,0.318,tmc,204110
29,0.5891,0.3688,0.0,0.0204,0.0217,0.2203,tmc,169974
30,0.654,0.1989,0.0,0.12,0.027,0.4551,tmc,161535
31,0.4978,0.3026,0.1655,0.0,0.0341,0.1952,tmc,173400
32,0.547,0.3752,0.0429,0.0,0.0349,0.1718,tmc,213136
33,0.5214,0.3995,0.0423,0.0,0.0368,0.1219,tmc,223301
34,0.3961,0.4871,0.0,0.07,0.0469,-0.091,bjp,239726
35,0.3658,0.4944,0.0,0.1066,0.0331,-0.1286,bjp,161347
36,0.591,0.3643,0.0,0.0,0.0447,0.2267,tmc,193986
37,0.4888,0.4204,0.0,0.0,0.0908,0.0684,tmc,184075
38,0.5252,0.3533,0.0,0.1023,0.0193,0.1719,tmc,170928
39,0.3859,0.4742,0.0,0.0,0.1398,-0.0883,bjp,152092
40,0.4441,0.4529,0.0,0.0,0.103,-0.0088,bjp,186309
41,0.444,0.4682,0.0695,0.0,0.0183,-0.0242,bjp,189482
42,0.5123,0.3915,0.0663,0.0,0.0299,0.1208,tmc,187642
43,0.3766,0.4752,0.0697,0.0,0.0785,-0.0986,bjp,197989
44,0.4469,0.455,0.0631,0.0,0.035,-0.0081,bjp,221214
45,0.5808,0.2435,0.0,0.157,0.0187,0.3373,tmc,199679
46,0.6031,0.2218,0.0063,0.1447,0.0241,0.3813,tmc,203153
47,0.6802,0.1844,0.0,0.1069,0.0285,0.4958,tmc,185484
48,0.5963,0.2511,0.0,0.0738,0.0788,0.3452,tmc,219148
49,0.5326,0.3689,0.0,0.0558,0.0427,0.1637,tmc,206991
50,0.3775,0.4523,0.0,0.1286,0.0416,-0.0748,bjp,206489
51,0.4064,0.4996,0.0508,0.0,0.0432,-0.0932,bjp,215675
52,0.597,0.2502,0.0018,0.1036,0.0473,0.3468,tmc,163143
53,0.7344,0.0712,0.0,0.1073,0.0871,0.6632,tmc,207591
54,0.3981,0.3862,0.0,0.1795,0.0362,0.0119,tmc,208652
55,0.5489,0.2273,0.0,0.1942,0.0296,0.3216,tmc,186424
56,0.48,0.38,0.06,0.04,0.04,0.1,tmc,200000
57,0.5887,0.2619,0.0,0.0867,0.0627,0.3268,tmc,216328
58,0.48,0.38,0.06,0.04,0.04,0.1,tmc,200000
59,0.6659,0.1497,0.0,0.0672,0.1172,0.5162,tmc,190478
60,0.5095,0.2408,0.0,0.1945,0.0551,0.2687,tmc,186816
61,0.5664,0.1547,0.0,0.2476,0.0313,0.4117,tmc,190438
62,0.6805,0.0739,0.2115,0.0,0.0341,0.6066,tmc,225990
63,0.6079,0.0952,0.0,0.2489,0.048,0.5127,tmc,222016
64,0.4078,0.4186,0.0,0.1258,0.0478,-0.0108,bjp,229231
65,0.4818,0.3114,0.1877,0.0,0.0192,0.1704,tmc,208516
66,0.5015,0.3264,0.0081,0.1475,0.0165,0.1751,tmc,185936
67,0.4632,0.4476,0.0,0.0693,0.0199,0.0156,tmc,176803
68,0.5116,0.3074,0.0,0.1478,0.0333,0.2042,tmc,186481
69,0.509,0.2811,0.0,0.1593,0.0506,0.2279,tmc,189047
70,0.5631,0.2387,0.0,0.1772,0.0211,0.3244,tmc,210445
71,0.5519,0.2886,0.0,0.1318,0.0277,0.2633,tmc,204511
72,0.3162,0.4521,0.0,0.2033,0.0284,-0.1359,bjp,197607
73,0.4751,0.0851,0.0,0.41,0.0298,0.39,tmc,216075
74,0.5816,0.2151,0.0,0.1561,0.0472,0.3665,tmc,202349
75,0.5645,0.0546,0.3557,0.0,0.0253,0.5099,tmc,226183
76,0.5574,0.197,0.2006,0.0,0.045,0.3604,tmc,222167
77,0.5007,0.3943,0.0776,0.0,0.0274,0.1064,tmc,221506
78,0.4486,0.4169,0.1065,0.0,0.0279,0.0317,tmc,218109
79,0.5422,0.2898,0.129,0.0,0.0391,0.2524,tmc,203385
80,0.5335,0.3091,0.0,0.1198,0.0377,0.2244,tmc,209379
81,0.5001,0.3986,0.0305,0.0,0.0708,0.1015,tmc,209570
82,0.3465,0.2729,0.055,0.0,0.3256,0.0736,tmc,213175
83,0.368,0.5419,0.0,0.0565,0.0336,-0.1739,bjp,201805
84,0.4852,0.397,0.088,0.0,0.0298,0.0882,tmc,210589
85,0.4688,0.4213,0.0842,0.0,0.0258,0.0475,tmc,195685
86,0.4272,0.4994,0.0,0.0448,0.0286,-0.0722,bjp,219692
87,0.4055,0.5091,0.0,0.0464,0.039,-0.1036,bjp,223193
88,0.4156,0.5073,0.0471,0.0,0.03,-0.0917,bjp,231938
89,0.3959,0.5439,0.0,0.0,0.0603,-0.148,bjp,214736
90,0.4251,0.4934,0.0626,0.0,0.0189,-0.0683,bjp,241687
91,0.4135,0.4686,0.084,0.0,0.0339,-0.0551,bjp,212064
92,0.4303,0.4404,0.1006,0.0,0.0287,-0.0101,bjp,220338
93,0.3911,0.4631,0.1176,0.0,0.0282,-0.072,bjp,210874
94,0.4494,0.4941,0.0,0.0377,0.0188,-0.0447,bjp,218791
95,0.4254,0.4765,0.0685,0.0,0.0297,-0.0511,bjp,205175
96,0.4611,0.4707,0.0484,0.0,0.0198,-0.0096,bjp,207834
97,0.4278,0.4727,0.0,0.0,0.0994,-0.0449,bjp,213243
98,0.4711,0.3068,0.2043,0.0,0.0177,0.1643,tmc,211804
99,0.5153,0.2502,0.0,0.2125,0.022,0.2651,tmc,212883
100,0.4434,0.4246,0.1077,0.0,0.0243,0.0188,tmc,204171
101,0.4318,0.3232,0.0,0.0,0.2449,0.1086,tmc,216724
102,0.42,0.2997,0.0,0.0,0.2803,0.1203,tmc,211742
103,0.479,0.383,0.1042,0.0,0.0338,0.096,tmc,139096
104,0.4969,0.3764,0.1011,0.0,0.0255,0.1205,tmc,156468
105,0.4063,0.534,0.0,0.0202,0.0394,-0.1277,bjp,107197
