election,year,election_type,state,total_seats,agency,pred_party1,pred_p1_seats,pred_party2,pred_p2_seats,actual_party1,actual_p1_seats,actual_party2,actual_p2_seats,p1_error,p2_error,direction_correct,notes
WB Assembly,2016,Assembly,West Bengal,294,C-Voter,TMC,156,Left+Cong,NA,TMC,211,Left+Cong,76,+55,NA,YES,
WB Assembly,2016,Assembly,West Bengal,294,GFK Mode,TMC,200,Left+Cong,NA,TMC,211,Left+Cong,76,+11,NA,YES,
WB Assembly,2016,Assembly,West Bengal,294,Poll of Polls,TMC,184,Left+Cong,NA,TMC,211,Left+Cong,76,+27,NA,YES,
WB Assembly,2021,Assembly,West Bengal,294,Axis My India,TMC,143,BJP,147,TMC,215,BJP,77,+72,-70,YES,Range mid: TMC 130-156 BJP 134-160
WB Assembly,2021,Assembly,West Bengal,294,C-Voter,TMC,158,BJP,115,TMC,215,BJP,77,+57,-38,YES,Range mid: TMC 152-164 BJP 109-121
WB Assembly,2021,Assembly,West Bengal,294,Jan Ki Baat,TMC,112,BJP,173,TMC,215,BJP,77,+103,-96,YES,Range mid: TMC 104-121 BJP 162-185
WB Assembly,2021,Assembly,West Bengal,294,Poll of Polls,TMC,156,BJP,121,TMC,215,BJP,77,+59,-44,YES,Aggregate of agencies
WB LS,2024,Lok Sabha,West Bengal,42,Axis My India,TMC,12.5,BJP,28.5,TMC,29,BJP,12,+16.5,-16.5,YES,LS seats; range mid TMC 11-14 BJP 26-31
WB LS,2024,Lok Sabha,West Bengal,42,India TV CNX,TMC,16,BJP,24,TMC,29,BJP,12,+13,-12,YES,
WB LS,2024,Lok Sabha,West Bengal,42,Jan Ki Baat,TMC,17,BJP,23.5,TMC,29,BJP,12,+12,-11.5,YES,
WB LS,2024,Lok Sabha,West Bengal,42,Poll of Polls,TMC,15,BJP,25,TMC,29,BJP,12,+14,-13,YES,Aggregate
UP Assembly,2022,Assembly,Uttar Pradesh,403,Poll of Polls,BJP,241,SP,142,BJP,255,SP,111,-14,+31,YES,BJP underestimated; SP overestimated
UP Assembly,2022,Assembly,Uttar Pradesh,403,Axis My India,BJP,255,SP,125,BJP,255,SP,111,0,+14,YES,Very accurate for BJP
Punjab Assembly,2022,Assembly,Punjab,117,Poll of Polls,AAP,80,Congress,25,AAP,92,Congress,18,-12,+7,YES,AAP underestimated
Gujarat Assembly,2022,Assembly,Gujarat,182,Axis My India,BJP,150,Congress,65,BJP,156,Congress,60,-6,+5,YES,Fairly accurate
Himachal Assembly,2022,Assembly,Himachal Pradesh,68,Poll of Polls,BJP,36,Congress,30,Congress,40,BJP,25,direction_wrong,direction_wrong,NO,All polls predicted BJP win; Congress won
Karnataka Assembly,2023,Assembly,Karnataka,224,Axis My India,Congress,131,BJP,71,Congress,135,BJP,66,-4,+5,YES,Range mid 122-140; most accurate
