constituency_id,ac_name,ls_seat,tmc_voteshare_ls24,bjp_voteshare_ls24,ls24_tmc_minus_bjp,ls24_winner
1,Darjeeling,Darjeeling,0.3774,0.5119,-0.1345,BJP
2,Kurseong,Darjeeling,0.3774,0.5119,-0.1345,BJP
3,Kalimpong,Darjeeling,0.3774,0.5119,-0.1345,BJP
4,Matigara-Naxalbari,Darjeeling,0.3774,0.5119,-0.1345,BJP
5,Siliguri,Darjeeling,0.3774,0.5119,-0.1345,BJP
6,Phansidewa,Darjeeling,0.3774,0.5119,-0.1345,BJP
7,Chopra,Raiganj,0.3597,0.4095,-0.0498,BJP
8,Islampur,Raiganj,0.3597,0.4095,-0.0498,BJP
9,Goalpokhar-I,Raiganj,0.3597,0.4095,-0.0498,BJP
10,Goalpokhar-II,Raiganj,0.3597,0.4095,-0.0498,BJP
11,Hemtabad,Raiganj,0.3597,0.4095,-0.0498,BJP
12,Kaliaganj,Raiganj,0.3597,0.4095,-0.0498,BJP
13,Raiganj,Raiganj,0.3597,0.4095,-0.0498,BJP
14,Itahar,Raiganj,0.3597,0.4095,-0.0498,BJP
15,Karandighi,Raiganj,0.3597,0.4095,-0.0498,BJP
16,Balurghat,Balurghat,0.4564,0.4648,-0.0084,BJP
17,Tapan,Balurghat,0.4564,0.4648,-0.0084,BJP
18,Gangarampur,Balurghat,0.4564,0.4648,-0.0084,BJP
19,Kushmandi,Balurghat,0.4564,0.4648,-0.0084,BJP
20,Kumarganj,Balurghat,0.4564,0.4648,-0.0084,BJP
21,Harirampur,Balurghat,0.4564,0.4648,-0.0084,BJP
22,Alipurduar,Alipurduar,0.4363,0.4894,-0.0531,BJP
23,Falakata,Alipurduar,0.4363,0.4894,-0.0531,BJP
24,Madarihat,Alipurduar,0.4363,0.4894,-0.0531,BJP
25,Kumargram,Alipurduar,0.4363,0.4894,-0.0531,BJP
26,Kalchini,Alipurduar,0.4363,0.4894,-0.0531,BJP
27,Jalpaiguri,Jalpaiguri,0.4305,0.4854,-0.0549,BJP
28,Rajganj,Jalpaiguri,0.4305,0.4854,-0.0549,BJP
29,Dabgram-Fulbari,Jalpaiguri,0.4305,0.4854,-0.0549,BJP
30,Maynaguri,Jalpaiguri,0.4305,0.4854,-0.0549,BJP
31,Mal,Jalpaiguri,0.4305,0.4854,-0.0549,BJP
32,Nagrakata,Jalpaiguri,0.4305,0.4854,-0.0549,BJP
33,Dhupguri,Jalpaiguri,0.4305,0.4854,-0.0549,BJP
34,Cooch Behar North,Cooch Behar,0.4853,0.4611,0.0242,AITC
35,Cooch Behar South,Cooch Behar,0.4853,0.4611,0.0242,AITC
36,Sitai,Cooch Behar,0.4853,0.4611,0.0242,AITC
37,Sitalkuchi,Cooch Behar,0.4853,0.4611,0.0242,AITC
38,Tufanganj,Cooch Behar,0.4853,0.4611,0.0242,AITC
39,Natabari,Cooch Behar,0.4853,0.4611,0.0242,AITC
40,Dinhata,Cooch Behar,0.4853,0.4611,0.0242,AITC
41,Nishiganj,Cooch Behar,0.4853,0.4611,0.0242,AITC
42,Mekhliganj,Cooch Behar,0.4853,0.4611,0.0242,AITC
43,Habibpur,Malda North,0.3169,0.3717,-0.0548,BJP
44,Gazole,Malda North,0.3169,0.3717,-0.0548,BJP
45,Chanchal,Malda North,0.3169,0.3717,-0.0548,BJP
46,Harischandrapur-I,Malda North,0.3169,0.3717,-0.0548,BJP
47,Harischandrapur-II,Malda North,0.3169,0.3717,-0.0548,BJP
48,Ratua-I,Malda North,0.3169,0.3717,-0.0548,BJP
49,Ratua-II,Malda South,0.1765,0.3239,-0.1474,INC
50,Manikchak,Malda South,0.1765,0.3239,-0.1474,INC
51,Malda,Malda South,0.1765,0.3239,-0.1474,INC
52,English Bazar,Malda South,0.1765,0.3239,-0.1474,INC
53,Mothabari,Malda South,0.1765,0.3239,-0.1474,INC
54,Sujapur,Malda South,0.1765,0.3239,-0.1474,INC
55,Purulia,Purulia,0.3918,0.4037,-0.0119,BJP
56,Jhalda-I,Purulia,0.3918,0.4037,-0.0119,BJP
57,Jhalda-II,Purulia,0.3918,0.4037,-0.0119,BJP
58,Balarampur,Purulia,0.3918,0.4037,-0.0119,BJP
59,Baghmundi,Purulia,0.3918,0.4037,-0.0119,BJP
60,Kashipur,Purulia,0.3918,0.4037,-0.0119,BJP
61,Para,Purulia,0.3918,0.4037,-0.0119,BJP
62,Raghunathpur-I,Purulia,0.3918,0.4037,-0.0119,BJP
63,Raghunathpur-II,Purulia,0.3918,0.4037,-0.0119,BJP
64,Manbazar-I,Purulia,0.3918,0.4037,-0.0119,BJP
65,Manbazar-II,Purulia,0.3918,0.4037,-0.0119,BJP
66,Jhargram,Jhargram,0.4993,0.3824,0.1169,AITC
67,Binpur-I,Jhargram,0.4993,0.3824,0.1169,AITC
68,Binpur-II,Jhargram,0.4993,0.3824,0.1169,AITC
69,Nayagram,Jhargram,0.4993,0.3824,0.1169,AITC
70,Ranibandh,Bishnupur,0.4455,0.4491,-0.0036,BJP
71,Raipur-I,Bishnupur,0.4455,0.4491,-0.0036,BJP
72,Raipur-II,Bishnupur,0.4455,0.4491,-0.0036,BJP
73,Taldangra,Bishnupur,0.4455,0.4491,-0.0036,BJP
74,Saltora,Bishnupur,0.4455,0.4491,-0.0036,BJP
75,Chhatna,Bishnupur,0.4455,0.4491,-0.0036,BJP
76,Barjora,Bishnupur,0.4455,0.4491,-0.0036,BJP
77,Salboni,Medinipur,0.4738,0.4555,0.0183,AITC
78,Keshpur,Medinipur,0.4738,0.4555,0.0183,AITC
79,Garbeta,Medinipur,0.4738,0.4555,0.0183,AITC
80,Bankura,Bishnupur,0.4455,0.4491,-0.0036,BJP
81,Onda,Bishnupur,0.4455,0.4491,-0.0036,BJP
82,Bishnupur,Bishnupur,0.4455,0.4491,-0.0036,BJP
83,Kotulpur,Bishnupur,0.4455,0.4491,-0.0036,BJP
84,Indpur,Bishnupur,0.4455,0.4491,-0.0036,BJP
85,Sonamukhi,Bishnupur,0.4455,0.4491,-0.0036,BJP
