constituency_id,name,district,deletion_count,deletion_rate,minority_share,sir_severity,data_source
1,Darjeeling,Darjeeling,5000,0.0227,0.08,low,estimated
2,Kurseong,Darjeeling,5000,0.0227,0.08,low,estimated
3,Kalimpong,Darjeeling,5000,0.0227,0.06,low,estimated
4,Matigara-Naxalbari,Darjeeling,5000,0.0227,0.12,low,estimated
5,Siliguri,Darjeeling,5000,0.0227,0.15,low,estimated
6,Phansidewa,Darjeeling,5000,0.0227,0.2,low,estimated
7,Chopra,North Dinajpur,5000,0.0227,0.45,low,estimated
8,Islampur,North Dinajpur,5000,0.0227,0.6,low,estimated
9,Goalpokhar-I,North Dinajpur,15692,0.1264,0.55,high,reported_ac_specific
10,Goalpokhar-II,North Dinajpur,15692,0.1264,0.50,high,reported_ac_specific
11,Hemtabad,North Dinajpur,5000,0.0227,0.3,low,estimated
12,Kaliaganj,North Dinajpur,5000,0.0227,0.4,low,estimated
13,Raiganj,North Dinajpur,5000,0.0227,0.25,low,estimated
14,Itahar,North Dinajpur,5000,0.0227,0.45,low,estimated
15,Karandighi,North Dinajpur,31562,0.1122,0.55,high,reported_ac_specific
16,Balurghat,South Dinajpur,5000,0.0227,0.2,low,estimated
17,Tapan,South Dinajpur,5000,0.0227,0.15,low,estimated
18,Gangarampur,South Dinajpur,5000,0.0227,0.18,low,estimated
19,Kushmandi,South Dinajpur,5000,0.0227,0.15,low,estimated
20,Kumarganj,South Dinajpur,5000,0.0227,0.18,low,estimated
21,Harirampur,South Dinajpur,5000,0.0227,0.22,low,estimated
22,Alipurduar,Alipurduar,5000,0.0227,0.1,low,estimated
23,Falakata,Alipurduar,5000,0.0227,0.12,low,estimated
24,Madarihat,Alipurduar,5000,0.0227,0.08,low,estimated
25,Kumargram,Alipurduar,5000,0.0227,0.12,low,estimated
26,Kalchini,Alipurduar,5000,0.0227,0.08,low,estimated
27,Jalpaiguri,Jalpaiguri,18387,0.0836,0.18,high,reported_ac_specific
28,Rajganj,Jalpaiguri,5000,0.0227,0.2,low,estimated
29,Dabgram-Fulbari,Jalpaiguri,5000,0.0227,0.22,low,estimated
30,Maynaguri,Jalpaiguri,5000,0.0227,0.18,low,estimated
31,Mal,Jalpaiguri,5000,0.0227,0.12,low,estimated
32,Nagrakata,Jalpaiguri,5000,0.0227,0.1,low,estimated
33,Dhupguri,Jalpaiguri,5000,0.0227,0.15,low,estimated
34,Cooch Behar North,Cooch Behar,5000,0.0227,0.2,low,estimated
