constituency_id,name,district,region,ls_seat_2024
1,Darjeeling,Darjeeling,north_bengal,Darjeeling
2,Kurseong,Darjeeling,north_bengal,Darjeeling
3,Kalimpong,Darjeeling,north_bengal,Darjeeling
4,Matigara-Naxalbari,Darjeeling,north_bengal,Darjeeling
5,Siliguri,Darjeeling,north_bengal,Darjeeling
6,Phansidewa,Darjeeling,north_bengal,Darjeeling
7,Chopra,North Dinajpur,north_bengal,Raiganj
8,Islampur,North Dinajpur,north_bengal,Raiganj
9,Goalpokhar-I,North Dinajpur,north_bengal,Raiganj
10,Goalpokhar-II,North Dinajpur,north_bengal,Raiganj
11,Hemtabad,North Dinajpur,north_bengal,Raiganj
12,Kaliaganj,North Dinajpur,north_bengal,Raiganj
13,Raiganj,North Dinajpur,north_bengal,Raiganj
14,Itahar,North Dinajpur,north_bengal,Raiganj
15,Karandighi,North Dinajpur,north_bengal,Raiganj
16,Balurghat,South Dinajpur,north_bengal,Balurghat
17,Tapan,South Dinajpur,north_bengal,Balurghat
18,Gangarampur,South Dinajpur,north_bengal,Balurghat
19,Kushmandi,South Dinajpur,north_bengal,Balurghat
20,Kumarganj,South Dinajpur,north_bengal,Balurghat
21,Harirampur,South Dinajpur,north_bengal,Balurghat
22,Alipurduar,Alipurduar,north_bengal,Alipurduar
23,Falakata,Alipurduar,north_bengal,Alipurduar
24,Madarihat,Alipurduar,north_bengal,Alipurduar
25,Kumargram,Alipurduar,north_bengal,Alipurduar
26,Kalchini,Alipurduar,north_bengal,Alipurduar
27,Jalpaiguri,Jalpaiguri,north_bengal,Jalpaiguri
28,Rajganj,Jalpaiguri,north_bengal,Jalpaiguri
29,Dabgram-Fulbari,Jalpaiguri,north_bengal,Jalpaiguri
30,Maynaguri,Jalpaiguri,north_bengal,Jalpaiguri
31,Mal,Jalpaiguri,north_bengal,Jalpaiguri
32,Nagrakata,Jalpaiguri,north_bengal,Jalpaiguri
33,Dhupguri,Jalpaiguri,north_bengal,Jalpaiguri
34,Cooch Behar North,Cooch Behar,north_bengal,Cooch Behar
35,Cooch Behar South,Cooch Behar,north_bengal,Cooch Behar
36,Sitai,Cooch Behar,north_bengal,Cooch Behar
37,Sitalkuchi,Cooch Behar,north_bengal,Cooch Behar
38,Tufanganj,Cooch Behar,north_bengal,Cooch Behar
39,Natabari,Cooch Behar,north_bengal,Cooch Behar
40,Dinhata,Cooch Behar,north_bengal,Cooch Behar
41,Nishiganj,Cooch Behar,north_bengal,Cooch Behar
42,Mekhliganj,Cooch Behar,north_bengal,Cooch Behar
